0.01 -1836.42 122.058 0.2248
0.06 -1819.27 52.33 0.2404
0.11 -1823.2 198.197 0.228
0.16 -1813.98 23.9708 0.2367
0.21 -1897.3 272.037 0.2194
0.26 -1788.39 58.2216 0.2404
0.31 -1835.57 253.488 0.233
0.36 -1887.12 433.23 0.2225
0.41 -1888.45 45.3839 0.2201
0.46 -1886.16 165.303 0.2245
0.51 -1899.32 83.9334 0.2253
0.56 -1850.43 147.24 0.2275
0.61 -1841.18 31.3617 0.2238
0.66 -1898.72 456.215 0.2265
0.71 -1830.21 224.259 0.2357
0.76 -1830.85 125.934 0.237
0.81 -1812.67 187.957 0.2416
0.86 -1822.54 30.197 0.232
0.91 -1742.78 109.675 0.2607
0.96 -1837.67 68.3552 0.2428
1.01 -1802.67 52.4062 0.2467
1.06 -1778.35 94.1928 0.2516
1.11 -1763.42 210.173 0.2542
1.16 -1885.99 51.2031 0.2384
1.21 -1775.91 134.204 0.2698
1.26 -1861.74 117.297 0.2527
1.31 -1714.97 198.548 0.2747
1.36 -1777.75 83.5148 0.2612
1.41 -1738.88 44.1726 0.2728
1.46 -1718.32 130.728 0.287
1.51 -1724.43 56.4362 0.2842
1.56 -1663.91 29.3155 0.2985
1.61 -1691.35 84.2814 0.2968
1.66 -1664.37 126.789 0.3123
1.71 -1528.98 88.5721 0.3378
1.76 -1548.72 19.5598 0.3373
1.81 -1519.63 175.657 0.3436
1.86 -1554.47 158.546 0.3402
1.91 -1460.79 119.047 0.3543
1.96 -1487.94 131.316 0.3591
2.01 -1499.38 77.2763 0.3601
2.06 -1414.64 175.644 0.3851
2.11 -1433.46 95.4401 0.379
2.16 -1431.65 28.6167 0.3838
2.21 -1340.54 164.805 0.4105
2.26 -1289.87 20.8047 0.4186
2.31 -1384.25 90.7487 0.4116
2.36 -1286.95 117.883 0.4452
2.41 -1379.89 74.3444 0.4173
2.46 -1236.51 25.5832 0.4592
2.51 -1232.89 57.2731 0.4606
2.56 -1186.54 139.876 0.4663
2.61 -1208.51 36.0324 0.463
2.66 -1176.65 68.1176 0.4757
2.71 -1208.47 83.0075 0.4687
2.76 -1209.45 40.8309 0.4728
2.81 -1053.87 102.363 0.5076
2.86 -1129.92 54.3126 0.4923
2.91 -1083.83 31.7192 0.5126
2.96 -1140.6 44.8931 0.5044
3.01 -975.157 61.0781 0.54
3.06 -1086.37 131.845 0.5146
3.11 -1063.68 43.2303 0.5218
3.16 -1000.26 57.9662 0.5493
3.21 -1011.89 56.8995 0.5394
3.26 -958.173 83.2961 0.5601
3.31 -918.162 43.0313 0.5682
3.36 -991.636 90.4122 0.5544
3.41 -888.979 69.3275 0.5916
3.46 -945.679 104.294 0.5582
3.51 -886.218 34.3216 0.5942
3.56 -884.633 80.169 0.5905
3.61 -860.938 29.687 0.5916
3.66 -834.044 39.1137 0.6127
3.71 -851.755 93.871 0.6146
3.76 -844.879 50.2314 0.61
3.81 -824.284 47.3455 0.6163
3.86 -790.158 36.4406 0.6334
3.91 -812.048 27.2805 0.624
3.96 -752.115 28.4072 0.6489
4.01 -757.088 38.8609 0.6385
4.06 -757.275 49.4133 0.6394
4.11 -771.126 66.7155 0.6394
4.16 -730.14 88.7401 0.6535
4.21 -715.09 78.0772 0.6655
4.26 -736.207 39.8238 0.6552
4.31 -756.32 50.4914 0.6566
4.36 -712.758 88.6701 0.6683
4.41 -741.397 128.53 0.6598
4.46 -715.157 35.8376 0.6743
4.51 -719.462 53.2235 0.6705
4.56 -729.198 33.2141 0.6553
4.61 -697.127 35.1291 0.6768
4.66 -686.063 43.3933 0.6927
4.71 -701.301 65.3405 0.674
4.76 -642.66 57.9142 0.694
4.81 -656.608 26.6705 0.6966
4.86 -621.835 66.5771 0.7018
4.91 -614.978 24.9941 0.7003
4.96 -618.317 27.9346 0.7024
