0.5 -3025.16 391.144 0.051397
1 -3335.7 1647.01 0.0040525
1.5 -3245.2 1587.75 0.019512
2 -2733.49 851.325 0.118986
2.5 -1845.82 211.688 0.326531
3 -1372.74 92.8525 0.461738
3.5 -1108.64 85.1037 0.548037
4 -934.34 70.5155 0.60936
4.5 -807.6 57.5741 0.65707
5 -716.86 53.613 0.693094
