# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.3390
# k_min, k_max      =     0.0000    2.1178
# E_min, E_max      =   -17.5867  137.1841
# Nbands, Nspin, Nk =    104     1   101
#
#        k            E
# --------------------------------------------------------------------------
      1.075611    -13.471100
      1.097131    -13.483300
      1.118652    -13.492800
      1.140172    -13.499100
      1.161693    -13.502100
      1.183213    -13.501600
      1.204734    -13.497800
      1.227560    -13.696300
      1.250386    -13.888200
      1.273212    -14.070600
      1.296038    -14.246500
      1.318864    -14.413200
      1.341690    -14.570200
      1.364516    -14.716900
      1.387341    -14.852900
      1.410167    -14.977900
      1.432993    -15.091500
      1.452558    -15.065600
      1.472123    -15.034800
      1.491689    -14.999200
      1.511254    -14.958900
      1.530819    -14.913900
      1.550384    -14.864600
      1.569949    -14.811200
      1.589514    -14.754100
      1.609079    -14.696300
      1.628644    -14.633800
      1.648209    -14.569600
      1.667774    -14.504700
      1.687339    -14.440100
      1.706905    -14.376700
      1.726470    -14.315500
      1.746035    -14.257600
      1.765600    -14.203700
      1.785165    -14.154300
      1.804730    -14.109600
      1.824295    -14.069400
      1.843860    -14.033300
      1.863425    -14.000500
      1.882990    -13.970100
      1.902555    -13.941100
      1.922121    -13.912400
      1.941686    -13.883200
      1.961251    -13.852400
      1.980816    -13.819500
      2.000381    -13.783900
      2.019946    -13.745000
      2.039511    -13.702700
      2.059076    -13.656800
      2.078641    -13.607400
      2.098206    -13.554500
      2.117771    -13.498800


      0.000000    -15.297300
      0.022365    -15.301200
      0.044730    -15.300500
      0.067094    -15.295400
      0.089459    -15.285500
      0.111824    -15.270800
      0.134189    -15.250800
      0.156553    -15.225100
      0.178918    -15.193300
      0.201283    -15.154900
      0.223648    -15.109600
      0.246012    -15.056900
      0.268377    -14.996600
      0.290742    -14.928500
      0.313107    -14.852500
      0.335471    -14.768600
      0.357836    -14.676600
      0.380201    -14.576400
      0.402566    -14.468100
      0.424930    -14.351600
      0.447295    -14.227100
      0.469660    -14.094800
      0.492025    -13.955000
      0.514389    -13.808100
      0.536754    -13.654800
      0.559119    -13.498500
      0.580639    -13.496600
      0.602160    -13.491600
      0.623680    -13.483400
      0.645201    -13.472300
      0.666721    -13.458600
      0.688242    -13.442900
      0.709762    -13.425800
      0.731283    -13.408300
      0.752803    -13.391100
      0.774324    -13.375300
      0.795844    -13.361700
      0.817365    -13.351100
      0.838885    -13.344200
      0.860406    -13.341400
      0.881926    -13.342900
      0.903447    -13.348600
      0.924967    -13.358100
      0.946488    -13.371000
      0.968008    -13.386400
      0.989529    -13.403500
      1.011049    -13.421200
      1.032570    -13.438700
      1.054090    -13.455100
      1.075611    -13.469700
