0.01	-6906.44
0.02	-6906.53
0.03	-6906.61
0.04	-6906.61
0.05	-6906.47
0.06	-6906.1
0.07	-6905.43
0.08	-6904.46
0.09	-6903.26
0.1	-6901.97
0.11	-6900.71
0.12	-6899.55
0.13	-6898.52
0.14	-6897.63
0.15	-6896.87
0.16	-6896.23
0.17	-6895.69
0.18	-6895.27
0.19	-6894.97
0.2	-6894.76
0.21	-6894.64
0.22	-6894.6
0.23	-6894.66
0.24	-6894.87
0.25	-6895.26
0.26	-6895.82
0.27	-6896.46
0.28	-6896.99
0.29	-6897.26
0.3	-6897.24
0.31	-6897.01
0.32	-6896.78
0.33	-6896.72
0.34	-6896.91
0.35	-6897.3
0.36	-6897.72
0.37	-6898.03
0.38	-6898.23
0.39	-6898.43
0.4	-6898.77
0.41	-6899.31
0.42	-6900.13
0.43	-6901.44
0.44	-6903.36
0.45	-6905.7
0.46	-6907.95
0.47	-6909.53
0.48	-6910.06
0.49	-6909.63
0.5	-6908.68
0.51	-6907.72
0.52	-6907.16
0.53	-6907.04
0.54	-6907.09
0.55	-6907.04
0.56	-6906.81
0.57	-6906.54
0.58	-6906.43
0.59	-6906.42
0.6	-6906.14
0.61	-6905
0.62	-6902.49
0.63	-6898.59
0.64	-6893.79
0.65	-6888.83
0.66	-6884.33
0.67	-6880.7
0.68	-6878.51
0.69	-6878.5
0.7	-6881.28
0.71	-6887.03
0.72	-6895.29
0.73	-6904.78
0.74	-6913.44
0.75	-6919.05
0.76	-6920.42
0.77	-6918
0.78	-6913.25
0.79	-6907.69
0.8	-6902.42
0.81	-6898.1
0.82	-6894.87
0.83	-6892.5
0.84	-6890.61
0.85	-6888.95
0.86	-6887.51
0.87	-6886.15
0.88	-6884.23
0.89	-6880.85
0.9	-6875.55
0.91	-6868.86
0.92	-6862.08
0.93	-6856.66
0.94	-6853.76
0.95	-6853.77
0.96	-6855.92
0.97	-6858.78
0.98	-6861.27
0.99	-6863.21
1	-6864.89
