0.01	-3979.72
0.02	-3979.73
0.03	-3979.72
0.04	-3979.64
0.05	-3979.49
0.06	-3979.25
0.07	-3978.96
0.08	-3978.68
0.09	-3978.49
0.1	-3978.46
0.11	-3978.59
0.12	-3978.82
0.13	-3979.08
0.14	-3979.29
0.15	-3979.44
0.16	-3979.49
0.17	-3979.48
0.18	-3979.41
0.19	-3979.31
0.2	-3979.22
0.21	-3979.15
0.22	-3979.11
0.23	-3979.1
0.24	-3979.1
0.25	-3979.12
0.26	-3979.13
0.27	-3979.15
0.28	-3979.18
0.29	-3979.2
0.3	-3979.22
0.31	-3979.24
0.32	-3979.24
0.33	-3979.25
0.34	-3979.25
0.35	-3979.27
0.36	-3979.28
0.37	-3979.3
0.38	-3979.31
0.39	-3979.31
0.4	-3979.31
0.41	-3979.32
0.42	-3979.36
0.43	-3979.41
0.44	-3979.47
0.45	-3979.51
0.46	-3979.5
0.47	-3979.44
0.48	-3979.36
0.49	-3979.3
0.5	-3979.31
0.51	-3979.36
0.52	-3979.41
0.53	-3979.45
0.54	-3979.48
0.55	-3979.5
0.56	-3979.53
0.57	-3979.56
0.58	-3979.59
0.59	-3979.56
0.6	-3979.49
0.61	-3979.45
0.62	-3979.45
0.63	-3979.5
0.64	-3979.56
0.65	-3979.61
0.66	-3979.63
0.67	-3979.59
0.68	-3979.52
0.69	-3979.44
0.7	-3979.39
0.71	-3979.41
0.72	-3979.51
0.73	-3979.61
0.74	-3979.64
0.75	-3979.62
0.76	-3979.58
0.77	-3979.58
0.78	-3979.59
0.79	-3979.59
0.8	-3979.59
0.81	-3979.6
0.82	-3979.6
0.83	-3979.59
0.84	-3979.57
0.85	-3979.57
0.86	-3979.59
0.87	-3979.62
0.88	-3979.64
0.89	-3979.66
0.9	-3979.66
0.91	-3979.66
0.92	-3979.63
0.93	-3979.59
0.94	-3979.55
0.95	-3979.54
0.96	-3979.54
0.97	-3979.56
0.98	-3979.61
0.99	-3979.66
1	-3979.7
